id,score
11,0.5786226166779508
7,0.19698137291212167
3,0.18373432367284526
16,0.11241958365552024
10,0.09998104070707248
4_6,0.07476020101021277
6,0.06914327117513061
14_16,0.0680581710050599
1_6,0.05880499580234756
10_14,0.05838152698131772
1,0.056300637132200834
4_8,0.05623697331939583
9_10,0.052017503682284943
2_10,0.044345329842153225
6_9,0.042762844939716174
2_4,0.04219510717311784
2_5,0.03612226242754226
5_15,0.03523556630963484
2_7,0.03242205370877014
13,0.03187422377736532
8,0.02878836050944302
7_13,0.028589120785137794
2_15,0.028085878979811463
12_15,0.02795060141249642
6_15,0.02660084845137067
8_15,0.026233154491704748
3_12,0.023709505928598135
5_7,0.023559830137600435
2_9,0.023082968645539246
2_12,0.022783017262340517
2_13,0.02140330281767284
7_9,0.02106604207173487
12,0.02034128050791615
12_13,0.019910069667027783
6_13,0.01959924341525253
4_5,0.01913864648668096
1_2,0.01900405104115635
4_14,0.018960121170590247
3_8,0.018606150426692575
13_16,0.0185199005791219
1_12,0.018357424913254507
1_5,0.01805597594232366
2_6,0.017169300107967245
12_14,0.017044037352683346
3_16,0.0168972583908596
9,0.016519337466463793
1_15,0.01649941264262644
3_5,0.016479176788596388
5_14,0.0160221016359595
8_14,0.01592422123079599
1_8,0.015728726215773193
4,0.015700344075468088
1_4,0.015056523639635232
5_10,0.012460793589568874
8_9,0.012307916139044599
10_15,0.011324669485152828
9_12,0.010491808214359676
6_14,0.010075159926579312
4_13,0.008214780042655313
3_6,0.0074229657668845265
2,0.005097605841535023
5_13,0.004469950973939642
8_13,0.004283405292374764
10_12,0.003641204792850951
9_15,0.003524715261691451
1_16,0.00285365359005843
9_16,0.0027222710096460093
10_13,0.002482580513897117
2_3,0.0020158829080813463
11_12,0.001588167652748728
2_16,0.0011819034991149648
4_16,0.0009729557002146745
8_16,0.0007199579791944477
13_14,-0.00034603347700784965
2_14,-0.0036103985291513784
13_15,-0.0038547369175729574
5,-0.003922600392106914
7_14,-0.005084010731985064
7_10,-0.005485124193929013
3_4,-0.0055062461793354165
6_10,-0.005963637161424714
1_3,-0.008198061615638878
7_8,-0.008834228012512367
5_8,-0.009460500368877548
5_9,-0.01088012566356661
5_16,-0.011571507799472828
6_12,-0.012438599302870253
8_10,-0.012536450442928102
7_16,-0.013567102330696747
5_12,-0.014090656603135668
2_8,-0.014267025155479337
1_9,-0.015296102275358315
1_7,-0.015779260568524477
7_15,-0.016598437611408567
9_13,-0.016949917246305492
4_7,-0.017632132924178673
3_15,-0.018036843788584247
9_14,-0.019049942520027407
6_8,-0.01943933372389786
3_10,-0.019846191360651484
8_11,-0.021262066865017634
4_9,-0.02243225197364773
4_10,-0.02253520909721124
9_11,-0.0229217414262993
1_14,-0.023487091056722417
15_16,-0.023589058168969737
1_10,-0.023841763880357445
4_12,-0.024026030986427693
5_11,-0.02535186140312362
3_7,-0.026048502186313268
3_9,-0.02755313101483302
3_14,-0.02893023402311326
14,-0.030772173184089924
8_12,-0.031198077448789264
15,-0.03197878304056501
3_13,-0.03360647368358711
14_15,-0.03436914262853494
7_12,-0.03657552120013151
5_6,-0.03753194264256466
11_13,-0.039026622793117395
4_11,-0.040135374439041305
1_11,-0.042038593541656157
10_16,-0.04310169496593162
11_14,-0.0443618504663887
12_16,-0.04448527218255001
6_16,-0.049806996328698006
4_15,-0.049982859568842186
1_13,-0.050771644149225394
11_16,-0.051372668305486854
11_15,-0.05297728796467334
6_7,-0.05680065221092247
6_11,-0.0901554762500239
10_11,-0.10454213477296238
3_11,-0.10816425449564121
2_11,-0.11072806843986945
7_11,-0.12136444713494553
